firstName,lastName,studyGroup,phoneNumber,position
Catherine,Barnes,БМТ7-4,001-984-849-9241,NotTech
Reginald,Martinez,ИУ8-8,+1-882-536-6030,TechJunior
John,Newton,РТ9-5,(918)400-7361,NotTech
Joel,Alvarez,РКТ12-5,256.713.1616x2357,TechJunior
Aaron,Solomon,ИБМ6-7,415-912-3688x33469,TechSenior
Nicole,Lee,РКТ10-7,(368)897-5761,TechSenior
Victoria,Henson,РКТ1-2,001-304-512-7015x526,TechSenior
Christian,Cook,АК7-3,(336)921-3250x12606,TechJunior
Aaron,Mccarthy,АК1-8,8108699813,TechSenior
Lauren,Sanchez,РКТ5-5,(474)975-1077x9622,TechSenior
Kevin,Berry,РКТ5-3,668.463.4582x728,NotTech
Debra,Valentine,ИБМ5-7,001-801-442-0486,NotTech
Courtney,Proctor,СГН13-4,+1-413-727-2924x67166,TechJunior
Veronica,Cox,РКТ8-3,+1-358-529-8368x09201,TechJunior
Geoffrey,Schmidt,Э9-2,829.971.3540x092,TechSenior
Anna,Williams,МТ13-2,722-801-9805,NotTech
David,Baxter,СМ6-3,300.268.2134x781,TechSenior
Aaron,Ortega,РКТ6-5,812.447.9583x433,TechSenior
Ryan,Lee,ПС13-7,+1-705-660-2171x293,TechJunior
Amy,Huff,РЛ9-6,(405)729-9166x53960,NotTech
Jennifer,Knight,АК11-4,(322)728-0220x6634,NotTech
Susan,Murphy,РК8-1,(289)367-9296x238,TechJunior
Ashley,Wilson,РЛ3-4,001-391-986-8557x21722,TechJunior
Kathryn,Sullivan,ЮР7-6,323.362.0739,NotTech
Danielle,Keller,Л2-6,5084867589,TechJunior
Andrew,Braun,Л12-3,436.414.6660,TechJunior
Christopher,Thompson,Л1-6,5453462591,TechJunior
Brent,Everett,РКТ11-3,302.446.2920,NotTech
Mario,Benitez,ФН9-5,(248)582-7639,TechSenior
Christopher,Guerrero,РК4-6,(746)933-2272x988,TechJunior
Julia,Chase,РК11-8,5139579236,TechSenior
Anthony,Davis,ИУ12-7,(911)565-8429,TechSenior
Heather,Wallace,АК1-8,001-926-285-2311,NotTech
Michelle,Marsh,МТ4-3,5323033048,TechSenior
Denise,Johnson,РКТ10-8,(486)561-1662x3757,TechSenior
Priscilla,Foster,ЮР13-6,750.366.2889x53664,NotTech
George,Smith,БМТ7-2,(329)987-3580,NotTech
Ralph,Kaiser,РК5-5,3448653678,NotTech
Faith,Baker,Э10-6,001-771-514-1053x89069,NotTech
Nicole,Weber,Э9-6,(237)381-8527x64051,TechJunior
Angela,Arnold,Э12-4,+1-989-264-3410,TechSenior
Julie,Mahoney,ФН6-5,+1-460-857-4302x4403,NotTech
Shari,Shaw,ЮР3-6,(236)826-3812x65708,NotTech
Amanda,Hancock,ФН5-3,001-405-251-8461x308,NotTech
Matthew,Buckley,Л1-8,001-937-975-6501,TechSenior
Krystal,Howell,СМ7-4,218.505.6489x1589,TechJunior
William,Campbell,РТ11-1,5945738848,NotTech
William,Smith,РЛ5-7,599.529.1926,NotTech
Wendy,Montgomery,ПС11-7,9554367505,TechJunior
Mark,Lopez,МТ12-2,(864)202-4136,TechSenior
Mark,Patel,Л13-2,(585)429-2589x4569,NotTech
Dennis,Lynch,ЮР3-3,(765)413-7928,NotTech
Lynn,Lucero,ФН10-7,001-604-207-4444x80121,TechJunior
Victoria,Gray,Л13-8,(909)548-2567x0772,TechSenior
Carl,Stone,АК13-4,+1-351-618-2699x002,TechJunior
David,Turner,РТ6-4,+1-211-494-1538x9923,NotTech
Larry,Stein,СМ10-7,724.342.4125x337,TechSenior
Joshua,Singleton,АК4-3,(698)249-5944x0744,TechJunior
Savannah,Freeman,СГН5-4,682-239-6631x30439,NotTech
Ryan,Walker,РТ5-8,001-424-875-8875x743,TechSenior
Sarah,Miller,РЛ1-4,+1-847-352-8813x914,NotTech
Erika,Martin,РК8-3,001-574-621-6482x98470,TechSenior
Jeffrey,Savage,ИУ2-4,+1-885-609-6426x074,TechSenior
Alyssa,Carroll,АК5-6,(885)966-6180x9502,TechJunior
Stefanie,Murphy,РКТ2-4,(682)533-5319x880,NotTech
Jesus,Sweeney,ИБМ5-4,4963482588,TechJunior
Brianna,Curry,Л4-8,768-802-1884,NotTech
Randy,Brown,РТ11-1,001-902-803-5100x65264,TechJunior
Kyle,Tanner,РК11-6,995.955.8104x372,TechSenior
Jennifer,Wilson,ИБМ1-7,+1-413-627-4193x32891,TechSenior
Melinda,Richardson,ЮР10-3,486.508.7699x166,NotTech
Keith,Nelson,РК7-8,728.588.0542,NotTech
Thomas,Smith,ИУ3-2,(778)954-4817x0384,TechSenior
Jimmy,Padilla,ИУ1-6,2108553494,TechSenior
Jimmy,Anderson,СГН12-5,688-800-9435x28194,NotTech
Karen,Cole,МТ9-3,001-205-269-9548x1566,TechSenior
Sharon,Terry,Э2-4,(297)506-4118x47574,NotTech
Mark,Gutierrez,ПС10-8,+1-628-728-6275x3657,TechSenior
Tyler,Robbins,СМ10-3,464.680.8008x460,NotTech
Cody,Graham,БМТ1-7,001-755-385-0705x20889,NotTech
Kristina,Jensen,СМ8-5,5675996606,TechSenior
Christina,Burton,БМТ12-4,(473)816-8985,TechJunior
Elizabeth,Kelly,ФН5-5,821-560-1637,TechSenior
Monica,Espinoza,СМ7-4,8348951017,TechJunior
Kenneth,Salazar,ПС11-1,+1-931-850-4547x34731,TechSenior
Amanda,Alexander,СМ5-7,709-415-4859x08338,NotTech
Brandi,Contreras,РТ1-1,001-428-612-3582,TechJunior
Nathan,Thomas,РКТ13-4,+1-384-573-9060x9141,NotTech
Kristen,Smith,МТ6-4,+1-716-971-6276,TechSenior
Anna,Romero,РК12-3,548.771.0860,NotTech
Felicia,Thomas,БМТ5-1,+1-525-745-4484,TechSenior
Angel,Edwards,ПС13-7,001-776-918-3893x57771,NotTech
Julia,Young,РКТ2-5,001-341-231-9740x86529,TechJunior
Lindsey,Vazquez,РКТ7-4,566.362.1391x854,TechJunior
Dawn,Walsh,ПС13-8,888-629-8439x701,TechSenior
Michael,Baxter,МТ5-4,689.981.8694,TechSenior
Darren,Young,БМТ1-4,+1-403-797-4519x70038,NotTech
Brian,Bailey,МТ8-2,001-292-638-7951x9723,TechSenior
Shirley,Myers,СГН9-2,+1-929-578-3146x739,NotTech
Elizabeth,Ryan,Э7-2,001-531-724-4402x0257,NotTech
Tamara,Rojas,Л13-4,924-522-5759,NotTech
Erin,Mendez,ФН5-3,977-226-1363x2749,NotTech
Timothy,Orozco,ИБМ13-7,+1-332-355-2978x921,TechSenior
Michael,Carter,Э1-7,(988)564-4084x39388,TechSenior
Lisa,Ross,ПС2-4,397-896-3010x21411,TechJunior
Lucas,Jones,ЮР13-3,7973253594,NotTech
Nicole,Gonzalez,ПС9-5,(693)372-7057,TechSenior
Mark,Cook,Э1-4,403-598-1090,TechSenior
Tabitha,Chandler,СМ5-1,814.779.9420x9989,NotTech
Scott,Burgess,ИУ8-4,6279770687,TechJunior
Dennis,Paul,МТ3-5,609.555.5486x231,TechSenior
Adam,Frey,РЛ9-8,8135208492,TechSenior
Sarah,Jones,ФН3-5,263-202-3173,TechJunior
Hannah,Gomez,СГН12-3,+1-212-323-9965x08450,NotTech
Eric,Harrington,ИБМ2-4,001-498-300-4518,TechJunior
Carol,Booth,РТ13-2,001-582-420-1736x9196,TechJunior
